user_id,login_frequency,last_login_time,purchase_history,ratings_count,session_duration,avg_session_time,purchases,last_purchase_days_ago,churn_status
1,7,1/5/2024 3:08,28,14,156,12,4,39,0
2,26,1/19/2024 9:38,18,86,380,15,7,53,0
3,4,12/16/2024 21:15,39,23,180,26,4,2,0
4,24,1/26/2024 2:37,43,29,343,6,4,33,0
5,12,10/16/2024 0:30,21,88,98,14,2,44,0
6,23,12/29/2024 15:49,2,50,184,25,8,39,0
7,18,11/20/2024 1:36,3,88,365,18,1,58,0
8,9,2/3/2024 2:44,25,52,435,24,6,44,0
9,29,5/4/2024 20:07,7,46,84,18,0,36,0
10,18,7/15/2024 12:18,39,3,51,10,5,42,0
11,4,3/31/2024 0:24,28,62,451,16,1,10,0
12,30,11/15/2024 16:05,35,13,400,20,7,14,0
13,23,2/27/2024 1:47,39,84,257,17,1,47,0
14,21,10/2/2024 0:22,23,25,266,17,8,29,0
15,15,5/18/2024 12:07,44,64,394,11,8,24,0
16,1,4/7/2024 3:54,43,7,112,15,2,17,0
17,8,7/7/2024 4:07,34,34,338,9,9,39,0
18,26,10/31/2024 1:05,40,27,184,13,7,12,0
19,2,9/17/2024 15:45,32,47,456,28,4,35,0
20,12,12/2/2024 15:04,39,85,84,5,2,37,0
21,15,5/22/2024 1:33,13,2,306,9,9,55,0
22,14,3/19/2024 10:31,38,26,442,19,9,42,0
23,28,10/15/2024 9:34,12,50,112,11,0,52,0
24,29,5/29/2024 21:10,31,3,271,9,6,39,0
25,13,1/23/2024 14:18,14,42,78,8,6,59,0
26,19,3/13/2024 6:43,21,27,115,14,8,53,0
27,6,9/26/2024 1:16,27,27,157,16,3,30,0
28,30,12/15/2024 5:18,10,91,280,5,0,57,0
29,27,6/15/2024 10:58,12,2,408,10,7,27,0
30,9,7/17/2024 18:27,36,96,356,14,7,15,0
31,27,10/12/2024 21:31,31,95,282,24,0,49,0
32,26,7/27/2024 7:50,11,38,435,7,0,37,0
33,17,7/16/2024 22:21,16,58,162,6,1,28,0
34,22,6/26/2024 17:35,22,95,274,5,2,2,0
35,21,2/26/2024 6:17,43,89,209,10,6,4,0
36,23,2/6/2024 12:18,10,55,172,21,5,24,0
37,5,8/22/2024 16:31,33,69,444,20,0,9,0
38,28,5/2/2024 14:15,5,79,398,7,3,59,0
39,4,9/17/2024 17:57,18,89,196,24,6,52,0
40,9,9/17/2024 16:34,32,39,177,11,1,40,0
41,1,4/22/2024 21:45,10,91,490,29,1,23,0
42,30,2/5/2024 0:32,41,98,312,20,9,48,0
43,25,5/14/2024 15:37,48,1,434,20,4,37,0
44,27,6/16/2024 19:44,8,98,196,20,2,20,0
45,24,5/19/2024 17:44,32,23,165,15,0,8,0
46,4,12/22/2024 5:50,37,83,303,7,8,35,0
